codeinsee;localisation;typepav;domaine;entourage;naturesol;datemaj;flux;longitude;latitude
35238;Rue du Nivernais (côté avenue Winston Churchill);Enterré;Privé;Sans;Béton;;OM-MM;-1.70968279307194;48.1219417308253
35238;Rue Pierre Donzelot;Aérien;Public;;;20080104;VE;-1.63945947118326;48.1233765255596
35238;13  square Léon Bourgeois;Aérien;Privé;Sans;;;OM;-1.65485617467634;48.1001316877172
35238;place de Serbie (face au 18);Aérien;Public;Sans;Enrobé;20100506;OM-MM-VE;-1.65914968792642;48.0876315796947
35238;Rue du Bourbonnais (côté avenue Winston Churchill);Aérien;Privé;Sans;Enrobé;;OM-MM-VE;-1.70943232005292;48.1206087884525
35238;Square Quentin;Aérien;Public;;;;VE;-1.65027863732274;48.1202575619951
35210;;Enterré;Public;Sans;Métal;20100310;VE;-1.76185098860175;48.150974544475
35238;Campus de Beaulieu (Cité Randouin);Aérien;Privé;;;;MM;-1.64268886452157;48.1221359562278
35204;RUE DES LOGES;Aérien;Public;Sans;;20080401;VE;-1.54618827856568;48.0432891350876
35238;Rue de Belgique (près du rond-point);Aérien;Public;Sans;Enrobé;20100505;VE;-1.68562027091561;48.0872922069579
35238;Rue Michel Gérard (angle rue Baudri de Bourgueil);Aérien;Public;;;;VE;-1.63545719664946;48.0895899767677
35238;8  allée de Croatie;Aérien;Public;Haie;Gravier;;OM-MM;-1.65214306473615;48.0902298670674
35238;face au 58  rue de la Motte Brulon;Aérien;Public;;;;VE;-1.67301878637941;48.1285670799243
35238;Cours Président John Fitzgerald Kennedy (angle rue Vincent Auriol);Aérien;Public;Sans;;20080226;VE;-1.70616626587491;48.1211250446322
35210;AVENUE DE TALCOAT (local éco) LOT. BOIS DE CHAMPAGNE;Aérien;Public;;;20080403;VE;-1.77244633196888;48.1551668462416
35024;LA VALLEE / LA GRENOUILLET;Aérien;Public;;;20080310;VE;-1.65112000706133;48.1630302148243
35032;CENTRE COMMERCIAL  RUE DU BEAU SOLEIL;Aérien;Public;;;20090825;VE;-1.61304131758849;47.9952469438698
35051;LES HAUTS DE BRAY rue du Leitrim;Enterré;Public;;;20090611;OM-MM-VE;-1.60959795877602;48.1100729099194
